Sentence,Alternative1,Alternative2,Alternative3
Sami's dog needed to eat.,zam istog meededt oea d  samihasmteate,sa mi  waz omatiet,ne nough
"Tonight I am in high spirits, as if flying weightlessly through the sky.",mim highsbir itzasivfly ingw eighdle  szr ythroughdhesgy,t om  ikhti a ,i nv ryimkim a nairplame
He has a large truck.,salarge truck  hezextremelymuzcur ar,h eha  ,
I can't see the words on the blackboard.,i ca ntseethe word so n  dhebla,thiswordd oes mtabpea r imt he list,cgboalt
Tom always ignores my advice.,tom arways igmolesm yadv ice  do nhasalw,to mwirrvo lrowmy adfi ce,ay sbeensb oiret
Tom believes that he can win.,dompe lieve  sdh adhec anwim,tomizpo un dto w in,t omza ysh e dlo fetowim
She must come at all events.,sh en usdc omead alrefe ntz,th ewho r eteam needztop  edhere,you ha v edosta yaway flon her
She buttered her toast.,s heb ut deledherdoazt  zh eslipped,shedhr ewu b,
Tom gave me a shove.,t omg a vemea shofe  ima,tonh i dmehar d,de at ea lwithtom
That tea is piping hot.,a isp ib imkhot  i ofdendlinkt ea,tha tte,
Where do you usually swim?,whe redoyo u usual ryswin  couldy ouinfol,h afeyouefer ko mescuba di fimg,m me
Is that what you're saying?,whatdoy oume anex actl y i sthatwhatyou l esay i,,ng
"In addition to classifying the data, the machine also checks the figures.",inadditiondocl ass ivyingt hed at adhem achi  nearsoc h e c gsthevigures,h ebroukh thiz friend stoo,
Tom isn't one to gossip.,mdon etog ozzip   tomdoezmdtal ka boutit any mo le,to nis,
"I, too, was wondering about that.",wasw onterinkabo u ddh at  i fealway zwomdeledab out,ito o,that
Tom and Mary said they hoped John would be able to come to their party.,that tomandmarys aitd h eyhobedj oh nw oul tpeab re toco    metothei rbarty,do,t omamd ma lysa idthey hop ej  ohmw ilr helpth emwidhthei lhomewolk
This lies outside my area of expertise.,thislie s ou tsiden yal eaof expeldise,,i k mowm  ywaya roundhele
Italy has a rich history.,id alyhasarichh  isto ry,italyisfalf rom pla zi l,alger ia hasan ump elief able amoumtofhisdo licarzides
Why don't we sit here and wait for Tom?,why domdwesit he rean  dwai  dv oltom,why is tomm akink uzwai  dhere,why do ntw eg ozee ton
They became nervous when I told them I came from Algeria.,th eybecamene rfou s wheni t oldthem i cam efro malkeria  w ewelekoimkt og,ilo fe al geriateally,abyr iea rgeria
Your room is a lot neater than mine is.,o onisa lotmea t  erdha nm  ineis  myr oomzar e alme zz,yourr,
Sami doesn't eat red meat.,d oezmte atre dmead  samiis ride rarlysd,sa ni,alfimk
Sami promised his parents not to do that.,s amipr onisedhizpare md z n  ottodo dhad,s am idi dntkn ow ivhe was allowed todo that,
I still can't reach them.,r cantre ach them  theyw ontovelta,ist il,kene
"They say this novel is a classic, but I gave up at the prologue.",dink the ysay d hisnove li zac l assic  but,d hewr it ersrade ztnoveriswellw oldhr ea,igafe u  patdhebrorog ue
"When I was a child, I wanted to be an astronaut.",toth emoon wheni wa sa chird  iw antetto  beam asdro naut,iw a nt dof r y,do mstreamist obec ome a nastl onaut
He grabbed a good chunk of her hair.,heg rabp etag oot  ch umkofher hair  she brai de ,helof eshe lpl ed tyhair,tmyhail
Sami talked about his home life.,za mit alk edab oudhishon erife,zam il  iveti nahaumt ethouse,sami wentbac kdo hizh  ouse
She returned to the mosque., durne tdothemos que,zh ele,sa miha sjusdred urn edfro megybd
He was intelligent.,imtellikent  acdintellige nd,h ew as,
Tom and Mary said that they're well.,to man dnalysaidth a d theyrew erl,toma ntna  l ydoltne theyw erevi ne,tom antm a lysa i ddhatt heyweleoverwhern ed
Ziri changed his clothes in the empty classroom and he came out to the hall.,cloth  esint he  enbty classroomandh ecameo utt odh eha ll  zi,sir i changedhi s,riexchange dhi spil lv olchange
"You're a quick learner, keep it up.",y oure aquicklea  rmer geebi tub,you aref as tw  eareslow,youlev forts w illso  ombearvruid
"Suddenly, a phone rang and pierced the silent mosque.",zudtenlyapho m er amgan dpie rc etdhe zilentmos que,z anipi ckedu phiz ph oneamdc alletray ra,iu s edtog  etyerleda tf or hog kingthe phome
The reason I went to Boston was to buy this book.,t h ere as  omiwe ndtobos tonwas t  opuyth ispook,,ile allyw andedt  ogotob o ston
Ziri was not that sweet person anymore.,atsweetber  sona mym ore  zili,zir i wasnotth,w asby none a nzhy
Where's the men's room? I want to wash my hands., eletityo ushakeh andzw ith them wher e sthemen  sro oniwan tdo wazhny han ts,wh,coneh ereafte l y ouhave washedyour  hands
He was silent as a tomb.,hewas sile nt az atonb ,ton zbodywascl ema ded,hew az aptuctet
These oranges mature fast.,trink thisor ang ejuice thes eo rangesma tulefast,,th isor  angeis fro mourdlee
He was stretching.,hewa zstredc hing,hewasdo om ed,hehas we akened
Let's eat everything.,ledseatev ery thimk,w erea llhumkry,ilrmage uzsom ethin gtoe at 
We've got some celebrating to do.,wevego dsomec ele br  atimgdod o,we ztilrh a vequit  e ap idtodo,
Tom was elected on Monday., ct e dom momday  do mis dhrowin gabaltym exdza turday,tonwazele,
Sami ran out that back door.,sa ni sb acgd oolisopem zani ra n oudtha d bacg,,door
He seems to have something on his mind.,h eseemztohafeso methin kon his  m imd,zonethimgse ems ofv,th atz al lhethin kzabout
How much money does he possess?, uchm oney toes hepossess,ho wm,heha salo t of mom ey
Would you do me a favor and take this cup of coffee to Sami?,wo u r dyout om ea favola  ntt ake  t his cubovcofveedosami ,,woult youl ikea  mo thercupofde a
He hugged his knees.,ukged his knees  zh ehazs we pthimo,heh ,fvhiz feet
Igor tried to prevent Anna to find her way back.,igolt rieddob ref en danm atof imdh e  lwayp ack,iko lr each edfora mnazhamd,
Does she understand what he's saying?,doezsh eum terstamdwh at hezs ayimg,shesaidsheum d e rsdood,h eexplai medt he whole thi ngtohel
Did you ever talk to her?,didyoue fel t a rkt oher,have y o urea lrytar kedtoher,h avey ouspok en tothem
India needs to rebalance its workforce.,ameeds torebaranceit sworgforce   ine et tovi n dan ew job,im di ,
These gloves aren't mine.,thesegro vezar emdn ine,,the se klo veszhour dg eepm yhand zwalmenough
That's the woman about whom I talked.,u th at sdh ewoman abou twh omitalget,szwithyo,z hedo ltmesh em eed edt odalk
I'm not very interested in astronomy.,i ntele st edinasd lomomy  i dom tw andt ostuty,immotve ry,
What'll you cook today?,w hatsonthenemu ton i ght whatrlyo uc o okdoday,,wh enwas the rast time youco  og edaneal
Let's go a little further.,re ts goalidt lefu rthel,wewe mdf ardher,re tspu shon
She was dropped from the height of happiness into the depth of misery., askicg ing u pher hee rzwithde light zhewaz d lo ppe dvronthe heikhdofhappin   eszim todh edep thofmis ery,zhew,shec a u setafrighdemink acci demtbyconmi dtinksu icide
Our schedule is pretty tight.,oulzchedu lei sbret ty tight,ourtlaini nki sha ld,  w eta
He needs to stop her.,he nee tzdost obhel   ihav etos top,you h avet ozta yawayf r omher,th i z
"Yes, I'll come at once.",ilr k oivy ougo yezi  rrc oneatom ,,ce
Tom realized that Mary wanted to do that.,tonrea lisetmar y ha d dotothat domreali se dthat m aryw andetd ,,odo thad
I met Tom while we were both in jail.,i met af riend ofdo ms ine td omw hilew ewe r,, e bot himjail
This sounds like a job for him.,he s sucha lasyve llow d hiz so unds ligeajobvol  ,,hin
I don't want to repeat myself.,ido n twant tore pea tmysel,i wi lln o twan ttore toit,f
The man who shot the hare is a hunter.,the na mwho shod dh eh areisahun d er  m emnadisa m uldere,tom isahu nte randfizher na m,l
It was the only thing I could do.,on  lythi mgicour ddo  th a tisnt t heonl ydhi nkthati wan tetdodo,it w as the,
These soldiers are wearing civilian clothes.,tiers alewea r in gcifilia nclodhez  i msti llimumiforn,dhesesol,
My shoelace has snapped. I'll be with you in a tick.,m y shoe la cehaz snapp edirr pewith  youinatic k,th esh o esaretoo ti ght vorme,
"Tom pressed the button, but nothing happened.",tompre ssedth ebu tt onputnothinkhapbe ne d  to mh asndr earlyb eendoin kamythink,tomt id ntkn owwhichpu td ondo puzh,
Do I snore a lot?,iz n o realot  ami pe imgsacge t,t o,
They turned Tom in to the police.,t heydu lnet tonindodhe  polic e  the,d hepolicea rrestedto m, poli
Would that I had met you then.,wouldthati h ad  netyoudh  en,i do ldyoud onee t  mehere,toyou reme mbelme eti mgnebefore 
It's only over if you let it be over.,i ts  omlyov  e r ify  ouletitpeover,,ifit re allywimdsyo uup thism uc h may peitsap o udti  m e youlokoff
Yanni was living in Skura's room.,nmiwa srifi n ginexile y amni wa  slifingi mskurasloom,ya,d heyan ata sliv ei  navlatbe rowthi some
How many yards are in a mile?,how nam yy ar dza le,wha di st hew idthofthis  streed,ina nire
Tom wants you to come to Australia with me.,doubddomwil lw ant tokot o au sdra ria widhyou t om wamtzyo uto co nedo  auz,i,traliawidhm e
This is the signature dish of the restaurant.,t hiz is t hezignatuletis ho vtheleztaur ant  w h,t had zasign,atk indov l
"""Are you ready to go?"" ""Not yet. One minute.""", aley ouready  dogo motyet omem  imude,idl lre a tyin ju ztamonemt,w elel e atydokono w
I'd like a daiquiri.,c iarryr ikeli colice idl ikeadai qui ri,iesbe,iw anttoge t alo boto my
I want to sleep a little bit.,ed a litdl esleep i wan tt ozr eepar itt l,i guess ime,ebit
She thinks the world of him.,tha tzallhe thi nksaboud shet himksthew or lt o fhin,,sheth ou ghd itwas stupid
I'm the new owner.,im thene wow mer  iboug,ir lbuy you an e wome,h tane wha mdbag
I assured Tom that I wouldn't do that.,o wtonw o ul db ehes itanttod othat i as  s urett omth atiwouldntdot hat,ididnd kn,in quidec ertaim  tomdidnddo  thad
I like to play tennis.,munpl ayz tenniz ilik etoplay te nn i,,z
"I'm here to help you, Tom.",h er etoherby ou ton,i m,to mtold neyoumeed  hel p
Sami isn't supposed to open the door.,samiiz nts ubposedtoopem  dhedo ,sami sbac kd oolis oben, ol
Tom probably isn't going to do that this afternoon.,apl yisntgoi ng tot othatthis afder noon  isu spec ttomtitn twanttodod hatye sder tay,tompro p ,
The knife has a very sharp edge.,red tetmedra lizwrin gly thekmi veh azafer ysha r be dge,ab,i used h isknifeev ely day
I'm afraid something might happen.,raidsomedh ingnig hthap bem,in af,i hat eto thi mkwhad mightha ppem
I'm in college now.,imin colre ken ow  imz ta nd,wele in corlege,img in fromtof dhedolmnow
"You're looking for work, aren't you?",youleu nem proyeda lendyou y ou reroo ginkvolw olkare mtyo,,u
Tom will be busy at this time tomorrow.,ill b ebusya t thi st imet omorlow  tomw ilr,domw,perea dytodo dhat py tomorlo w
I especially like licorice.,iespeci all yli gericorice  i t rikeadaiq uiri,i likeleno naten ore tha norangeade,
I can get it done myself.,icamke tit do nem ys elf  ithou kh tth adicoultdotha tp ymys el f,icould vedoneth at  by myserfi  thimk,
"Peanut butter and jelly, please.",p eamutbudtera mdje r rypreaze  iw andcoffe et oazda n djerly,i ha tapeanutb udt erandjel lysa  ndwich,
The first black president of the United States was Barack Obama.,donja cks omwazappoindetch ailpers on dh efirs tb lackb rezidemd ofdheuni  teds tades wa,,zpalackob ana
Gabriel can predict the future., mpredi ctdhefut ure  tonmaybebes sim isti c,gab rielca,
Tom disappeared last Monday.,t omtisap pe aretlastmo nday,,donh asbeem away fordh  reed ays
"After two hours on the road, Tom made a comfort stop.",aft er  tw ohour zo n dhero atdonma deacomf  ortstop,,domwa rk edaway unhurt
What's Tom doing there?,wha ts tomdoing there ,,h owca ntompo ss ib rydowhatyou ret oing
They are talking with each other.,he yaretalk ingwidh eacho the r  th eyzd illcomnu nicatewi,d,theach other
Cold as stone.,col daszto ne,iz e easd one,hefeels cold 
There is Tokyo.,d hereiz dokyo,,hesometime sgo esdo tokyoo m buzi mess
Sami is now in a coma.,sami is mow in aco ma  saniende d,s ami isd eadnow,up tead
Everything Tom predicted came true.,e verydhingdo mbletictetcamed ,domisar way spesz inizt icabo udeverything, rue  tom do
"I remember as a child in the 1970s in the Philippines, there were many comics in Tagalog, of different genres. That phenomenon continues. Today, I enjoy particularly the wholly translated fantasy book The Explorers by Kirsten Nimwey into Tagalog. With machine translation greatly improving, maybe there will be many whole books translated by machine, with maybe some human editing and tinkering, in the coming decades. Machine translation is much better now than just ten or so years ago. It will affect the literature of many languages.",irene mbelasachild indh e1970sint hephiribp imezd herewerenan yconi  csindag al ogovd  i  vferentg enrez thatbh e n  omenom contim uestoda yi en joybal ticu  r a rly thewholrytlansl ate  dfa ndasybo okdhee  xplolels b yki rste nminweyintotag al okw ithn achine dranslad  ionkrea dlyimprof ingn ayb ed herewirlpe mam ywhorebo o g sdranslade dp ymac hi newithnay pe somehuman editingand d imkelingint he co min ktecad esmach i  nedranzladiomizmuc h pedtelmowthanju sddeno rzo yearsag oitwilla f  vectdh eriteratureovnamylanguagez,im the sunm yaf tern oont oday the21zt ofa uku stof20 22m yfami rysipbe ds omeki  mkar th ulsdlymeadfl omchinoo  ga r ch meadel yfolmamyyearziv e wonderedwhatnead    olho meywimewouldt asteli keasiknow  dhatoulsul na mein w  ouldbe espe  landomeanz meatflo g—medo plus  r ano—medramo  itsl  ike adrunken amphibian ancie  ntegypt ia mscon zumetneadantanc iemtpeowu l famdtorkienwridimgsmemdiomid,
Is there anything you'd like to share?,iz dher eanyd himky oudr igetoshar e,arenty ou go in kd oshareit,ha veyoufound amy th imgyet
Mary told me she was glad.,toldm e she wask lad  m a lyzaits,ma ry,h ewa skraddohel b
She ripped the letter to shreds.,sherip bed  thel etterd oshreds,,he le ft amess ageond het  ab levolher
Channers are some of the most rigorously conformist people on the planet., areakindbe opre chanme rzal esom eof thenos  dri g orouzrycon folmis tpeopleonth eblamed,s,t he grandes dpeoblea redhose  whoin zbilehopeim od hels
Committing genocide is one of the biggest crimes against humanity.,rine ak ainsthuma nidy com midtimggenocite isomeovth ebigk estcr imeza gai msth una mit,dhi zisac,y
"The future becomes the present, the present the past, and the past turns into ever lasting regret if you don't plan for it!",thevudule thefudulebeco me zthep rese ntdh  eprese ndt hepast and dhepasdt urns imd o e felrasd i ng rekr etifyoud  om dpranfolid,lathe rdh a mla memtim k ofert hepasdyoushou ldvocusyo ulem ergy in dowh adyou c a ntoright mowfol,whade ve rhadha pp enetindh ebastwazn owilrelev  ant
How many classes do you usually have on Mondays?,doy ou uzuarr yh aveonmomday s  howman yran,ho wnany crasses ,gu a gest oyouspe akwelr
Tom noticed that Mary wasn't wearing a wedding ring.,admaryw asm twe ari ngaweddingring  tomdo ezn tknowmary,t omno t ice tth,
He hasn't left his room all day.,m h ehasnd left his loon a rrday,retanyonei,he didm tlig hta myc andre si nhisloon
I want to buy some books for my son.,apomy iwan td ob uyzo me boo g,hew a mtsmet opu yh im,svoln ys on
The Romans built an astounding network of stone-paved roads connecting all parts of their empire within Europe.,thel onan sbuird anazt oun dimg nedwor   gofs tonebavetloatscon nectimkallp artsofdheire nbile wi thineur ope,wh attecidedd heen to fdher o nan embile,inthe6th cendur  ytheamg ro sa xons atopt edromanchalacterz
I suspect that Tom is still in love with you.,adto mis stilli n lovewid hyou  i nzu letha ttomw illlik ew hadyou ma tefolhim,is us  becdt h,
Tom and Mary don't plan to do that again.,toma md nary dondprand odot  ha,d onand narybl omis ed the  ywouldnttot hatagain,dagai n
We sang for them.,a rnetus wesan gfor the,theyw, m
Where has she come from?,whe reti dsh eead wheleha sshec  omevr om,,whe ndid healliveh er e
Mary is so beautiful.,maryiz  zobea utivu l,,m aryrookz likes hes amuset
This part of the lake is very shallow.,dhe portiomsarek imo rnous thisp a lt ofd hel agei sferyzh alro,,w
"I said: ""I'm not interested.""",i sait imm  odintele,looginn od inter ezdet,sded
I don't think Tom knows why Mary went to Boston.,don doe sn tthinknary isinpozto n idont thinkt o mgnowsw hyna r,,yw em tdob ozto m
Tom brought Mary her lunch.,ugh tn aryh erlunch  tomcamei,tombro ,mdodh elu mchroon loogi mgv ormary
Tom won't see us.,tomw ont hul dus tonwo n tsee us,,do nwo ntgi ve usar ite
I didn't know Tom knew who did that for me.,i didn  t kmo wtomknew who d idthadf orne,tongno wsitidn  tto t hat,i di tnt k mowtonw a zthety peofper   sonw howoultd othad
